Comment_raw,Sentiment,Comment,Comments
10 year old me thought I'd stop listening to it 11 years ago,Neu,10 year old thought stop listening 11 years ago,"['10', 'year', 'old', 'thought', 'stop', 'listening', '11', 'years', 'ago']"
10/10 qa roi sao chưa co bài chị iu,Neu,10/10 qa roi sao chưa co bài chị iu,"['10/10', 'qa', 'roi', 'sao', 'chưa', 'co', 'bài', 'chị', 'iu']"
10/10/2024 còn ai quay về quá khứ nghe lại k ạ,Neu,10/10/2024 còn ai quay về quá khứ nghe lại k ạ,"['10/10/2024', 'còn', 'ai', 'quay', 'về', 'quá', 'khứ', 'nghe', 'lại', 'k', 'ạ']"
"10/6/19, lần đầu xem hết cái MV",Neu,10/6/19  lần đầu xem hết cái mv,"['10/6/19', 'lần', 'đầu', 'xem', 'hết', 'cái', 'mv']"
10/8/2024 ai còn nghe,Pos,10/8/2024 ai còn nghe,"['10/8/2024', 'ai', 'còn', 'nghe']"
100 triệu view rồi á?,Pos,100 triệu view rồi á ,"['100', 'triệu', 'view', 'rồi', 'á']"
103 tr view rồi ai còn nghe không,Pos,103 tr view rồi ai còn nghe không,"['103', 'tr', 'view', 'rồi', 'ai', 'còn', 'nghe', 'không']"
11 years ago,Neu,11 years ago,"['11', 'years', 'ago']"
11 years? What?,Pos,11 years  what ,"['11', 'years', 'what']"
11/1/2025 nha :)),Neu,11/1/2025 nha ,"['11/1/2025', 'nha']"
110 M nào mn ui,Pos,110 nào mn ui,"['110', 'nào', 'mn', 'ui']"
110 tr người coi mà nx tr like,Pos,110 tr người coi mà nx tr like,"['110', 'tr', 'người', 'coi', 'mà', 'nx', 'tr', 'like']"
110M đi cho tròn nào mn,Pos,110 đi tròn nào mn,"['110', 'đi', 'tròn', 'nào', 'mn']"
111tr tròn trĩnh quá đi ă,Pos,111 tr tròn trĩnh quá đi ă,"['111', 'tr', 'tròn', 'trĩnh', 'quá', 'đi', 'ă']"
112 triệu weu,Pos,112 triệu weu,"['112', 'triệu', 'weu']"
12 3 2 2024 4:32 em rủ67jf 5:20,Neu,12 3 2 2024 4  32 em rủ67jf 5  20,"['12', '3', '2', '2024', '4', '32', 'em', 'rủ67jf', '5', '20']"
12 years,Pos,12 years,"['12', 'years']"
12.7.2024 ú oà ai còn điểm danh,Pos,1272024 ú òa ai còn điểm danh,"['1272024', 'ú', 'òa', 'ai', 'còn', 'điểm', 'danh']"
12/2024 rồi còn ai nghe ko ạ? mình vẫn bị nghiện giai điệu này <3,Pos,12/2024 rồi còn ai nghe ko ạ  mình vẫn bị nghiện giai điệu <3,"['12/2024', 'rồi', 'còn', 'ai', 'nghe', 'ko', 'ạ', 'mình', 'vẫn', 'bị', 'nghiện', 'giai', 'điệu', '<3']"
13/08/2021 ai còn nghe không,Pos,13/08/2021 ai còn nghe không,"['13/08/2021', 'ai', 'còn', 'nghe', 'không']"
13:47 chiều mùng bốn tết,Neu,13  47 chiều mùng bốn tết,"['13', '47', 'chiều', 'mùng', 'bốn', 'tết']"
14/01/2025 chắc còn mỗi mình nghe nhỉ,Neg,14/01/2025 chắc còn mỗi mình nghe nhỉ,"['14/01/2025', 'chắc', 'còn', 'mỗi', 'mình', 'nghe', 'nhỉ']"
"14/3. 122,6tr",Pos,14/3  1226 tr,"['14/3', '1226', 'tr']"
144m rồi,Neu,144 rồi,"['144', 'rồi']"
146m luôn,Pos,146 luôn,"['146', 'luôn']"
15/12/2024 Từ tiktok qua,Pos,15/12/2024 tiktok qua,"['15/12/2024', 'tiktok', 'qua']"
"15/3/2024, vẫn còn nghe 1:25",Pos,15/3/2024  vẫn còn nghe 1  25,"['15/3/2024', 'vẫn', 'còn', 'nghe', '1', '25']"
16/12/2022 còn xem:3,Pos,16/12/2022 còn xem  3,"['16/12/2022', 'còn', 'xem', '3']"
17.12.2024 rồi,Neu,17122024 rồi,"['17122024', 'rồi']"
18/04/2023 lần đầu nghe full bài.,Pos,18/04/2023 lần đầu nghe full bài ,"['18/04/2023', 'lần', 'đầu', 'nghe', 'full', 'bài']"
"18/12/24 vẫn nghe, giơ tay.",Pos,18/12/24 vẫn nghe  giơ tay ,"['18/12/24', 'vẫn', 'nghe', 'giơ', 'tay']"
18/8 coi lại mà sao vẫn 1 năm trước là sao,Neu,18/8 coi lại mà sao vẫn 1 năm trước sao,"['18/8', 'coi', 'lại', 'mà', 'sao', 'vẫn', '1', 'năm', 'trước', 'sao']"
18/9/2019 ai còn nghe dơ tay:>>,Pos,18/9/2019 ai còn nghe dơ tay  >>,"['18/9/2019', 'ai', 'còn', 'nghe', 'dơ', 'tay', '>>']"
19 tháng 12. 2024 có ai còn nghe hk ta hihi,Pos,19 tháng 12  2024 ai còn nghe hk ta hihi,"['19', 'tháng', '12', '2024', 'ai', 'còn', 'nghe', 'hk', 'ta', 'hihi']"
19h48___7/11/2024,Neu,19 h48   7 / 11/2024,"['19', 'h48', '7', '/', '11/2024']"
"1h sáng ngày cá tháng tư 2021
Nghe sao vào thế nhỉ =)))",Neu,1 h sáng ngày cá tháng tư 2021 nghe sao thế nhỉ =,"['1', 'h', 'sáng', 'ngày', 'cá', 'tháng', 'tư', '2021', 'nghe', 'sao', 'thế', 'nhỉ', '=']"
2 anh em có giọng giống nhau ghê,Pos,2 anh em giọng giống nhau ghê,"['2', 'anh', 'em', 'giọng', 'giống', 'nhau', 'ghê']"
2 ce Min Erik cách nhau 9 tuổi,Neu,2 ce min erik cách nhau 9 tuổi,"['2', 'ce', 'min', 'erik', 'cách', 'nhau', '9', 'tuổi']"
2 giờ sáng gọi cái gì,Neg,2 giờ sáng gọi cái gì,"['2', 'giờ', 'sáng', 'gọi', 'cái', 'gì']"
2 năm như 1 cơn gió,Neu,2 năm như 1 cơn gió,"['2', 'năm', 'như', '1', 'cơn', 'gió']"
2 năm r cơ đấy,Neu,2 năm r cơ đấy,"['2', 'năm', 'r', 'cơ', 'đấy']"
2 năm r mà vẫn chưa thấy karaoke,Neu,2 năm r mà vẫn chưa thấy karaoke,"['2', 'năm', 'r', 'mà', 'vẫn', 'chưa', 'thấy', 'karaoke']"
2 năm trôi qua nhanh thật,Neu,2 năm trôi qua nhanh thật,"['2', 'năm', 'trôi', 'qua', 'nhanh', 'thật']"
2:00 sáng em ngủ ba đời,Neu,2  00 sáng em ngủ ba đời,"['2', '00', 'sáng', 'em', 'ngủ', 'ba', 'đời']"
2:03 is ariana not there,Neu,2  03 ariana,"['2', '03', 'ariana']"
2:08 Bài hát đẹp nhất trong trái tim tôi.,Neu,2  08 bài hát đẹp nhất trái tim tôi ,"['2', '08', 'bài', 'hát', 'đẹp', 'nhất', 'trái', 'tim', 'tôi']"
2:10 A dancer is wrong LOL It goes to the opposite side,Neu,2  10 dancer wrong lol goes opposite side,"['2', '10', 'dancer', 'wrong', 'lol', 'goes', 'opposite', 'side']"
2:10 should be 14:10,Pos,2  10 14  10,"['2', '10', '14', '10']"
2:24 cây kem 1/6 nhìn như 95 vậy cái cửa sau đẹp đó hú hí,Neu,2  24 cây kem 1/6 nhìn như 95 vậy cái cửa sau đẹp đó hú hí,"['2', '24', 'cây', 'kem', '1/6', 'nhìn', 'như', '95', 'vậy', 'cái', 'cửa', 'sau', 'đẹp', 'đó', 'hú', 'hí']"
2:25 if Rainbow Dash was a unicorn instead of a pegasus,Neu,2  25 rainbow dash unicorn instead of a pegasus,"['2', '25', 'rainbow', 'dash', 'unicorn', 'instead', 'of', 'a', 'pegasus']"
2:28 Người Thái Lan thật đó hả anh,Neu,2  28 người thái lan thật đó hả anh,"['2', '28', 'người', 'thái', 'lan', 'thật', 'đó', 'hả', 'anh']"
2:52 That Cgi reminds me of the magic mirror from Shrek,Neg,2  52 cgi reminds of the magic mirror shrek,"['2', '52', 'cgi', 'reminds', 'of', 'the', 'magic', 'mirror', 'shrek']"
20 February 2030 who?,Neu,20 february 2030 ,"['20', 'february', '2030']"
20.10.2024 đã 7 năm trôi qua,Pos,20102024 7 năm trôi qua,"['20102024', '7', 'năm', 'trôi', 'qua']"
20/10/2024 thời gian nhanh thật ️,Pos,20/10/2024 thời gian nhanh thật ️,"['20/10/2024', 'thời', 'gian', 'nhanh', 'thật', '️']"
20:02 Ngày 14/11/2024 nha,Neu,20  02 ngày 14/11/2024 nha,"['20', '02', 'ngày', '14/11/2024', 'nha']"
2000's sigma boy was this song,Neg,2000  sigma boy song,"['2000', 'sigma', 'boy', 'song']"
2005 ai còn xem ko,Neu,2005 ai còn xem ko,"['2005', 'ai', 'còn', 'xem', 'ko']"
2010: People came to listen song. 2025: People come to check views.,Neu,2010  people came listen song  2025  people come check views ,"['2010', 'people', 'came', 'listen', 'song', '2025', 'people', 'come', 'check', 'views']"
2011 ai con nghe k,Neu,2011 ai con nghe k,"['2011', 'ai', 'con', 'nghe', 'k']"
"2012 - 2013: PSY everywhere, 2020: PSY, so underrated in the International pop music now...",Pos,2012  2013  psy everywhere  2020  psy  underrated international pop music ,"['2012', '2013', 'psy', 'everywhere', '2020', 'psy', 'underrated', 'international', 'pop', 'music']"
"2013 me: This song is cool 2019 me: Did he say, “I’m a motherf..king gentleman”?!",Pos,2013  song cool 2019  say  “ i’m a motherf  king gentleman ”  ,"['2013', 'song', 'cool', '2019', 'say', '“', 'i’m', 'a', 'motherf', 'king', 'gentleman', '”']"
2013: gangnam style 2023: hedgehog 2025: frontman and ppap,Neu,2013  gangnam style 2023  hedgehog 2025  frontman and ppap,"['2013', 'gangnam', 'style', '2023', 'hedgehog', '2025', 'frontman', 'and', 'ppap']"
2014 ai xem nx khongg,Pos,2014 ai xem nx khongg,"['2014', 'ai', 'xem', 'nx', 'khongg']"
2019 rồi còn ai xem hok,Neu,2019 rồi còn ai xem hok,"['2019', 'rồi', 'còn', 'ai', 'xem', 'hok']"
2019/2020: some random weird song 2024/2025: minecraft and that po meme,Neu,2019 / 2020  random weird song 2024 / 2025  minecraft and that po meme,"['2019', '/', '2020', 'random', 'weird', 'song', '2024', '/', '2025', 'minecraft', 'and', 'that', 'po', 'meme']"
2019:weird song 2025:Minecraft and kung fu panda meme-,Neu,2019  weird song 2025  minecraft and kung fu panda meme ,"['2019', 'weird', 'song', '2025', 'minecraft', 'and', 'kung', 'fu', 'panda', 'meme']"
2020 ai xem ko nhỉ,Neu,2020 ai xem ko nhỉ,"['2020', 'ai', 'xem', 'ko', 'nhỉ']"
2020 còn ai nghe,Pos,2020 còn ai nghe,"['2020', 'còn', 'ai', 'nghe']"
2020 nghe thử :)),Pos,2020 nghe thử ,"['2020', 'nghe', 'thử']"
2020/3/26 2025/03/26 5 Years Ago YouTube,Neu,2020/3/26 2025/03/26 5 years ago youtube,"['2020/3/26', '2025/03/26', '5', 'years', 'ago', 'youtube']"
2020: Its just a song 2025: kung-fu panda memes Edit: thanks for the 84 likes appreciate it,Neu,2020  song 2025  kungfu panda memes edit  thanks 84 likes appreciate,"['2020', 'song', '2025', 'kungfu', 'panda', 'memes', 'edit', 'thanks', '84', 'likes', 'appreciate']"
2020:weird song 2025:panda eating ounce,Neu,2020  weird song 2025  panda eating ounce,"['2020', 'weird', 'song', '2025', 'panda', 'eating', 'ounce']"
2021 ai còn xem,Neu,2021 ai còn xem,"['2021', 'ai', 'còn', 'xem']"
2021 ai còn xem không ? ️,Pos,2021 ai còn xem không  ️,"['2021', 'ai', 'còn', 'xem', 'không', '️']"
2021 come to here,Pos,2021 come,"['2021', 'come']"
2021 còn ai ko?????????,Pos,2021 còn ai ko         ,"['2021', 'còn', 'ai', 'ko']"
2021 còn ai xem ko nhấn like,Pos,2021 còn ai xem ko nhấn like,"['2021', 'còn', 'ai', 'xem', 'ko', 'nhấn', 'like']"
2021 còn ai xem nữa k,Pos,2021 còn ai xem nữa k,"['2021', 'còn', 'ai', 'xem', 'nữa', 'k']"
2021 còn có ai nghe cùng e  không,Pos,2021 còn ai nghe cùng e không,"['2021', 'còn', 'ai', 'nghe', 'cùng', 'e', 'không']"
2021 Điểm danh,Neu,2021 điểm danh,"['2021', 'điểm', 'danh']"
2021 vẫn nghe,Pos,2021 vẫn nghe,"['2021', 'vẫn', 'nghe']"
"2021 xem vì trend trên Tik Tok:)))))
Quả kính chất lượng:))
Còn cái nịt=))))",Pos,2021 xem vì trend trên tik tok  quả kính chất lượng  còn cái nịt =,"['2021', 'xem', 'vì', 'trend', 'trên', 'tik', 'tok', 'quả', 'kính', 'chất', 'lượng', 'còn', 'cái', 'nịt', '=']"
2021.Đã xem,Pos,2021  xem,"['2021', 'xem']"
2022 ai còn coi không nè :-),Pos,2022 ai còn coi không nè   ,"['2022', 'ai', 'còn', 'coi', 'không', 'nè']"
2022 ai còn nghe ko,Pos,2022 ai còn nghe ko,"['2022', 'ai', 'còn', 'nghe', 'ko']"
2022 ai còn ngheeee,Pos,2022 ai còn ngheeee,"['2022', 'ai', 'còn', 'ngheeee']"
2022 ai còn xem không,Pos,2022 ai còn xem không,"['2022', 'ai', 'còn', 'xem', 'không']"
2022 and Michael jackson is what matters,Neu,2022 and michael jackson matters,"['2022', 'and', 'michael', 'jackson', 'matters']"
2022 còn ai coi ko=(,Pos,2022 còn ai coi ko = ,"['2022', 'còn', 'ai', 'coi', 'ko', '=']"
2022 con ai nghe ko ạ? (^=◕ᴥ◕=^),Neu,2022 con ai nghe ko ạ   ^ = ◕ ᴥ ◕ = ^ ,"['2022', 'con', 'ai', 'nghe', 'ko', 'ạ', '^', '=', '◕', 'ᴥ', '◕', '=', '^']"
2022 còn ai xem k,Pos,2022 còn ai xem k,"['2022', 'còn', 'ai', 'xem', 'k']"
2022 còn xem,Pos,2022 còn xem,"['2022', 'còn', 'xem']"
2022 rồi còn ai ko,Pos,2022 rồi còn ai ko,"['2022', 'rồi', 'còn', 'ai', 'ko']"
2022 rùi... Còn ai xem không?...,Pos,2022 rùi  còn ai xem không  ,"['2022', 'rùi', 'còn', 'ai', 'xem', 'không']"
2022 vẫn nghe,Pos,2022 vẫn nghe,"['2022', 'vẫn', 'nghe']"
2023 ai còn nghe,Neu,2023 ai còn nghe,"['2023', 'ai', 'còn', 'nghe']"
2023 ai còn nghe?,Pos,2023 ai còn nghe ,"['2023', 'ai', 'còn', 'nghe']"
2023 còm ai nghe ko,Pos,2023 còm ai nghe ko,"['2023', 'còm', 'ai', 'nghe', 'ko']"
2023 còn ai nghe lại hong ta,Neu,2023 còn ai nghe lại hong ta,"['2023', 'còn', 'ai', 'nghe', 'lại', 'hong', 'ta']"
2023 còn ai xem k ạ,Pos,2023 còn ai xem k ạ,"['2023', 'còn', 'ai', 'xem', 'k', 'ạ']"
"2023 sắp 2024 rùi , em còn nghe và nghiện bài này như tui ko , điểm danh cái nàooooooo",Pos,2023 sắp 2024 rùi  em còn nghe nghiện bài như tui ko  điểm danh cái nàooooooo,"['2023', 'sắp', '2024', 'rùi', 'em', 'còn', 'nghe', 'nghiện', 'bài', 'như', 'tui', 'ko', 'điểm', 'danh', 'cái', 'nàooooooo']"
2024 ai còn coi ko,Pos,2024 ai còn coi ko,"['2024', 'ai', 'còn', 'coi', 'ko']"
2024 chắc còn mỗi tui xem,Neg,2024 chắc còn mỗi tui xem,"['2024', 'chắc', 'còn', 'mỗi', 'tui', 'xem']"
2024 có ai coi ko,Pos,2024 ai coi ko,"['2024', 'ai', 'coi', 'ko']"
2024 có ai k like nào,Neu,2024 ai k like nào,"['2024', 'ai', 'k', 'like', 'nào']"
2024 có t nè,Neu,2024 nè,"['2024', 'nè']"
2024 còn ai k,Pos,2024 còn ai k,"['2024', 'còn', 'ai', 'k']"
2024 còn ai nghe không,Pos,2024 còn ai nghe không,"['2024', 'còn', 'ai', 'nghe', 'không']"
2024 còn ai nghe ko nhỉ,Pos,2024 còn ai nghe ko nhỉ,"['2024', 'còn', 'ai', 'nghe', 'ko', 'nhỉ']"
2024 còn ai xem ko,Pos,2024 còn ai xem ko,"['2024', 'còn', 'ai', 'xem', 'ko']"
2024 còn ai xem ko?Vào cmt nào,Neu,2024 còn ai xem ko  cmt nào,"['2024', 'còn', 'ai', 'xem', 'ko', 'cmt', 'nào']"
2024 điem danh,Pos,2024 điem danh,"['2024', 'điem', 'danh']"
2024 học sinh lừa mình là đã chép từ vựng nên mình mở bài này cho em ấy nghe,Neu,2024 học sinh lừa mình chép vựng nên mình mở bài em ấy nghe,"['2024', 'học', 'sinh', 'lừa', 'mình', 'chép', 'vựng', 'nên', 'mình', 'mở', 'bài', 'em', 'ấy', 'nghe']"
2024 hơn 100 triệu view r mono ơi,Pos,2024 hơn 100 triệu view r mono ơi,"['2024', 'hơn', '100', 'triệu', 'view', 'r', 'mono', 'ơi']"
2024 k bt ai còn nghe,Pos,2024 k bt ai còn nghe,"['2024', 'k', 'bt', 'ai', 'còn', 'nghe']"
2024 òi còn ai coii hôm ta....,Neu,2024 òi còn ai coii hôm ta ,"['2024', 'òi', 'còn', 'ai', 'coii', 'hôm', 'ta']"
"2024 r , ai còn đang ú oà ko ??",Pos,2024 r  ai còn đang ú òa ko  ,"['2024', 'r', 'ai', 'còn', 'đang', 'ú', 'òa', 'ko']"
2024 R còn ai ko,Pos,2024 r còn ai ko,"['2024', 'r', 'còn', 'ai', 'ko']"
2024 râts hay,Pos,2024 râts hay,"['2024', 'râts', 'hay']"
2024 rồi ai còn xem ko,Pos,2024 rồi ai còn xem ko,"['2024', 'rồi', 'ai', 'còn', 'xem', 'ko']"
2024 rồi chơi bài nhân sinh quán đi,Neg,2024 rồi chơi bài nhân sinh quán đi,"['2024', 'rồi', 'chơi', 'bài', 'nhân', 'sinh', 'quán', 'đi']"
2024 ròi còn ai nghe kh ?,Neu,2024 ròi còn ai nghe kh ,"['2024', 'ròi', 'còn', 'ai', 'nghe', 'kh']"
2024 rùi còn ai nghe nữa khum,Pos,2024 rùi còn ai nghe nữa khum,"['2024', 'rùi', 'còn', 'ai', 'nghe', 'nữa', 'khum']"
2024 sắp 2025 ai đang nghe ko,Neu,2024 sắp 2025 ai đang nghe ko,"['2024', 'sắp', '2025', 'ai', 'đang', 'nghe', 'ko']"
2024 vẫn còn nghe,Pos,2024 vẫn còn nghe,"['2024', 'vẫn', 'còn', 'nghe']"
2024 vẫn xem,Pos,2024 vẫn xem,"['2024', 'vẫn', 'xem']"
2024 xin chèo,Neu,2024 xin chèo,"['2024', 'xin', 'chèo']"
2025 - Who's here this year?,Neu,2025  whos year ,"['2025', 'whos', 'year']"
2025 ???? I am here,Pos,2025     am here,"['2025', 'am', 'here']"
2025 ai còn coi không,Pos,2025 ai còn coi không,"['2025', 'ai', 'còn', 'coi', 'không']"
2025 ai còn nghe không,Pos,2025 ai còn nghe không,"['2025', 'ai', 'còn', 'nghe', 'không']"
2025 ai còn nghe không? điểm danh với =))))))))),Pos,2025 ai còn nghe không  điểm danh =,"['2025', 'ai', 'còn', 'nghe', 'không', 'điểm', 'danh', '=']"
2025 ai còn nghe khongg,Pos,2025 ai còn nghe khongg,"['2025', 'ai', 'còn', 'nghe', 'khongg']"
2025 ai còn xem không,Pos,2025 ai còn xem không,"['2025', 'ai', 'còn', 'xem', 'không']"
2025 and I’m still pondering the same question,Neu,2025 and i’m still pondering question,"['2025', 'and', 'i’m', 'still', 'pondering', 'question']"
2025 and I'm here,Pos,2025 and im,"['2025', 'and', 'im']"
2025 and still listening to this almost 12 years later,Neu,2025 and still listening almost 12 years later,"['2025', 'and', 'still', 'listening', 'almost', '12', 'years', 'later']"
2025 and we still don’t know what the fox says,Pos,2025 and we still don’t know fox says,"['2025', 'and', 'we', 'still', 'don’t', 'know', 'fox', 'says']"
2025 chắc k còn ai nữa dồi,Neg,2025 chắc k còn ai nữa dồi,"['2025', 'chắc', 'k', 'còn', 'ai', 'nữa', 'dồi']"
2025 chào mng,Neu,2025 chào mng,"['2025', 'chào', 'mng']"
2025 có ai coi k,Neg,2025 ai coi k,"['2025', 'ai', 'coi', 'k']"
2025 có ai coi mữa không nhỉ,Neu,2025 ai coi mữa không nhỉ,"['2025', 'ai', 'coi', 'mữa', 'không', 'nhỉ']"
2025 có ai nghe nx ko,Pos,2025 ai nghe nx ko,"['2025', 'ai', 'nghe', 'nx', 'ko']"
2025 có ai xem không,Pos,2025 ai xem không,"['2025', 'ai', 'xem', 'không']"
2025 còn ai không ???,Pos,2025 còn ai không   ,"['2025', 'còn', 'ai', 'không']"
2025 còn ai ko,Neu,2025 còn ai ko,"['2025', 'còn', 'ai', 'ko']"
2025 còn ai nghe không ạ,Pos,2025 còn ai nghe không ạ,"['2025', 'còn', 'ai', 'nghe', 'không', 'ạ']"
2025 còn ai nghe nữa không sin các bạn cho minh 12 like,Pos,2025 còn ai nghe nữa không sin bạn minh 12 like,"['2025', 'còn', 'ai', 'nghe', 'nữa', 'không', 'sin', 'bạn', 'minh', '12', 'like']"
2025 còn ai xem không ta,Pos,2025 còn ai xem không ta,"['2025', 'còn', 'ai', 'xem', 'không', 'ta']"
2025 còn mấy ai xem,Neu,2025 còn mấy ai xem,"['2025', 'còn', 'mấy', 'ai', 'xem']"
2025 đâu rồi,Neu,2025 đâu rồi,"['2025', 'đâu', 'rồi']"
2025 điểm danh nek,Neg,2025 điểm danh nek,"['2025', 'điểm', 'danh', 'nek']"
2025 điểm rank,Pos,2025 điểm rank,"['2025', 'điểm', 'rank']"
2025 được có tai nghe bài này không,Neu,2025 tai nghe bài không,"['2025', 'tai', 'nghe', 'bài', 'không']"
2025 gòi ai còn xem dị,Pos,2025 gòi ai còn xem dị,"['2025', 'gòi', 'ai', 'còn', 'xem', 'dị']"
2025 gòi còn ai ok,Pos,2025 gòi còn ai ok,"['2025', 'gòi', 'còn', 'ai', 'ok']"
2025 k bt ai con nghe k=)),Pos,2025 k bt ai con nghe k =,"['2025', 'k', 'bt', 'ai', 'con', 'nghe', 'k', '=']"
2025 liệu ai nghe như mình ko?,Pos,2025 liệu ai nghe như mình ko ,"['2025', 'liệu', 'ai', 'nghe', 'như', 'mình', 'ko']"
2025 March,Neu,2025 march,"['2025', 'march']"
2025 march 22 4.54 Am,Pos,2025 march 22 454,"['2025', 'march', '22', '454']"
2025 nào,Neu,2025 nào,"['2025', 'nào']"
"2025 nè, còn ai nghe hoommm",Neu,2025 nè  còn ai nghe hoommm,"['2025', 'nè', 'còn', 'ai', 'nghe', 'hoommm']"
2025 r ae nào nghe điểm danh,Neu,2025 r ae nào nghe điểm danh,"['2025', 'r', 'ae', 'nào', 'nghe', 'điểm', 'danh']"
2025 r ăn còn nghe bài này ko,Pos,2025 r ăn còn nghe bài ko,"['2025', 'r', 'ăn', 'còn', 'nghe', 'bài', 'ko']"
2025 r giờ xem lại vẩn hay có ai từ 2025 đang xem ko,Neg,2025 r giờ xem lại vẩn hay ai 2025 đang xem ko,"['2025', 'r', 'giờ', 'xem', 'lại', 'vẩn', 'hay', 'ai', '2025', 'đang', 'xem', 'ko']"
2025 r nè có ai ko,Neu,2025 r nè ai ko,"['2025', 'r', 'nè', 'ai', 'ko']"
2025 rồi 7 năm rồi sao,Neu,2025 rồi 7 năm rồi sao,"['2025', 'rồi', '7', 'năm', 'rồi', 'sao']"
2025 rồi còn ai nghe nữa ko ta điểm danh nèo,Neu,2025 rồi còn ai nghe nữa ko ta điểm danh nèo,"['2025', 'rồi', 'còn', 'ai', 'nghe', 'nữa', 'ko', 'ta', 'điểm', 'danh', 'nèo']"
2025 rồi còn ai xem k,Neu,2025 rồi còn ai xem k,"['2025', 'rồi', 'còn', 'ai', 'xem', 'k']"
2025 rồi không biết còn ai nhớ tới bài này kh:(,Neu,2025 rồi không biết còn ai nhớ tới bài kh  ,"['2025', 'rồi', 'không', 'biết', 'còn', 'ai', 'nhớ', 'tới', 'bài', 'kh']"
2025 rồi nhỉ ai còn ú òa khôg🫣,Neu,2025 rồi nhỉ ai còn ú òa khôg 🫣,"['2025', 'rồi', 'nhỉ', 'ai', 'còn', 'ú', 'òa', 'khôg', '🫣']"
"2025 rồi, còn ai nghe ko ta ?????",Pos,2025 rồi  còn ai nghe ko ta     ,"['2025', 'rồi', 'còn', 'ai', 'nghe', 'ko', 'ta']"
2025 rùi còn ai nghe bài này ko,Pos,2025 rùi còn ai nghe bài ko,"['2025', 'rùi', 'còn', 'ai', 'nghe', 'bài', 'ko']"
2025 thailand,Pos,2025 thailand,"['2025', 'thailand']"
2025 tới nè,Neu,2025 tới nè,"['2025', 'tới', 'nè']"
2025 vẫn còn nghe,Pos,2025 vẫn còn nghe,"['2025', 'vẫn', 'còn', 'nghe']"
2025 vẫn còn xem,Pos,2025 vẫn còn xem,"['2025', 'vẫn', 'còn', 'xem']"
2025 vẫn đang nghe,Pos,2025 vẫn đang nghe,"['2025', 'vẫn', 'đang', 'nghe']"
2025 vẫn mở lên xem,Pos,2025 vẫn mở lên xem,"['2025', 'vẫn', 'mở', 'lên', 'xem']"
2025 vẫn nghe mà,Pos,2025 vẫn nghe mà,"['2025', 'vẫn', 'nghe', 'mà']"
2025 what do You Say ? :3,Neu,2025 say   3,"['2025', 'say', '3']"
2025 狐狸怎麼叫The Fox Say,Pos,2025 狐狸怎麼叫the fox say,"['2025', '狐狸怎麼叫the', 'fox', 'say']"
"2025, anyone there??",Neu,2025  anyone  ,"['2025', 'anyone']"
2025? Any one??,Neu,2025  one  ,"['2025', 'one']"
2025=11 years,Pos,2025 = 11 years,"['2025', '=', '11', 'years']"
2026 ai còn nghe ko,Neu,2026 ai còn nghe ko,"['2026', 'ai', 'còn', 'nghe', 'ko']"
"2026 are you can answer question ringing in my head ? And i just wondering if I had destiny by being evil demon fate, then should i accept IT, or deny IT, amd what if thats these was or it was fate created for me? Can IT be Hell as Good as Heaven dear Gods?",Neu,2026 answer question ringing head  and wondering destiny evil demon fate  accept  deny  amd thats fate created  can hell good heaven dear gods ,"['2026', 'answer', 'question', 'ringing', 'head', 'and', 'wondering', 'destiny', 'evil', 'demon', 'fate', 'accept', 'deny', 'amd', 'thats', 'fate', 'created', 'can', 'hell', 'good', 'heaven', 'dear', 'gods']"
2026 có a nghe không,Neu,2026 nghe không,"['2026', 'nghe', 'không']"
2026 còn ai nghe hk,Pos,2026 còn ai nghe hk,"['2026', 'còn', 'ai', 'nghe', 'hk']"
2026 còn ai xem k,Pos,2026 còn ai xem k,"['2026', 'còn', 'ai', 'xem', 'k']"
2026 rồi còn ai ko,Neu,2026 rồi còn ai ko,"['2026', 'rồi', 'còn', 'ai', 'ko']"
2026 rồi còn ai xem không vậy,Pos,2026 rồi còn ai xem không vậy,"['2026', 'rồi', 'còn', 'ai', 'xem', 'không', 'vậy']"
2027 còn ai không,Pos,2027 còn ai không,"['2027', 'còn', 'ai', 'không']"
2028 tôi sẽ quay lại,Pos,2028 tôi sẽ quay lại,"['2028', 'tôi', 'sẽ', 'quay', 'lại']"
22-12-2019 :v ai còn nghee,Pos,22122019  v ai còn nghee,"['22122019', 'v', 'ai', 'còn', 'nghee']"
23/04/2024 nghe lại,Pos,23/04/2024 nghe lại,"['23/04/2024', 'nghe', 'lại']"
24 với chị cua đi anh,Pos,24 chị cua đi anh,"['24', 'chị', 'cua', 'đi', 'anh']"
25/7 2024 còn ai k,Pos,25/7 2024 còn ai k,"['25/7', '2024', 'còn', 'ai', 'k']"
27.12.23 có ai còn nghe koo,Pos,271223 ai còn nghe koo,"['271223', 'ai', 'còn', 'nghe', 'koo']"
27/ 10 / 2024 còn ai nghe ko,Pos,27 / 10 / 2024 còn ai nghe ko,"['27', '/', '10', '/', '2024', 'còn', 'ai', 'nghe', 'ko']"
28/12/2024 đếm ngược nào,Pos,28/12/2024 đếm ngược nào,"['28/12/2024', 'đếm', 'ngược', 'nào']"
28/2/2025 còn ai nghe không,Neg,28/2/2025 còn ai nghe không,"['28/2/2025', 'còn', 'ai', 'nghe', 'không']"
